ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"72.210.252.134","elite","N/A","US","N/A","116","N/A","46164","socks5","N/A","5001","2021-11-10T23:33:27.006Z"
"64.130.180.230","elite","N/A","US","N/A","69","N/A","62311","socks5","N/A","N/A","2021-11-10T23:33:21.495Z"
"72.206.181.105","elite","N/A","US","N/A","N/A","N/A","64935","socks5","N/A","5001","2021-11-10T23:33:19.209Z"
"37.187.72.30","elite","N/A","FR","N/A","141","N/A","57257","socks5","N/A","5001","2021-11-10T23:33:03.867Z"
"5.164.23.101","elite","N/A","RU","N/A","N/A","N/A","1080","socks5","N/A","5002","2021-11-10T23:32:56.604Z"
"39.96.175.55","elite","N/A","CN","N/A","172","N/A","1080","socks5","N/A","345","2021-11-10T23:32:39.492Z"
"46.4.96.137","elite","N/A","DE","N/A","162","N/A","1080","socks5","N/A","N/A","2021-11-10T23:32:38.525Z"
"51.83.190.248","elite","N/A","FR","N/A","176","N/A","19050","socks5","N/A","5001","2021-11-10T23:32:37.743Z"
"198.8.94.170","elite","N/A","US","N/A","98","N/A","4145","socks5","N/A","5001","2021-11-10T23:32:32.114Z"
"209.97.150.167","elite","N/A","US","N/A","76","N/A","1080","socks5","N/A","N/A","2021-11-10T23:32:24.844Z"
"27.116.51.119","elite","N/A","IN","N/A","259","N/A","6667","socks5","N/A","N/A","2021-11-10T23:32:22.212Z"
"184.178.172.13","elite","N/A","US","N/A","112","N/A","15311","socks5","N/A","5001","2021-11-10T23:32:19.556Z"
"184.178.172.5","elite","N/A","US","N/A","112","N/A","15303","socks5","N/A","5001","2021-11-10T23:32:12.336Z"
"184.179.216.130","elite","N/A","US","N/A","112","N/A","4145","socks5","N/A","5007","2021-11-10T23:32:05.739Z"
"191.96.42.80","elite","N/A","US","N/A","65","N/A","1080","socks5","N/A","N/A","2021-11-10T23:32:00.270Z"
"185.179.196.19","elite","N/A","RU","N/A","178","N/A","1100","socks5","N/A","5002","2021-11-10T23:31:59.024Z"
"184.179.216.133","elite","N/A","US","N/A","N/A","N/A","24630","socks5","N/A","5002","2021-11-10T23:31:53.392Z"
"184.178.172.18","elite","N/A","US","N/A","112","N/A","15280","socks5","N/A","5001","2021-11-10T23:31:38.053Z"
"192.111.137.37","elite","N/A","US","N/A","93","N/A","18762","socks5","N/A","5001","2021-11-10T23:31:31.422Z"
"174.64.199.82","elite","N/A","US","N/A","113","N/A","4145","socks5","N/A","N/A","2021-11-10T23:31:26.036Z"
"174.77.111.196","elite","N/A","US","N/A","113","N/A","4145","socks5","N/A","5000","2021-11-10T23:31:14.215Z"
"176.9.119.170","elite","N/A","DE","N/A","158","N/A","1080","socks5","N/A","N/A","2021-11-10T23:31:08.278Z"
"173.205.83.170","elite","N/A","US","N/A","N/A","N/A","6776","socks5","N/A","5004","2021-11-10T23:31:07.496Z"
"139.59.1.14","elite","N/A","IN","N/A","219","N/A","1080","socks5","N/A","N/A","2021-11-10T23:30:49.630Z"
"138.68.60.8","elite","N/A","US","N/A","2","N/A","1080","socks5","N/A","N/A","2021-11-10T23:30:49.784Z"
"156.241.167.100","elite","N/A","HK","N/A","170","N/A","8081","socks5","N/A","339","2021-11-10T23:30:48.506Z"
"140.238.42.153","elite","N/A","US","N/A","108","N/A","6666","socks5","N/A","N/A","2021-11-10T23:30:47.676Z"
"146.59.178.51","elite","N/A","NO","N/A","145","N/A","9300","socks5","N/A","301","2021-11-10T23:30:44.307Z"
"146.59.178.45","elite","N/A","NO","N/A","146","N/A","9300","socks5","N/A","289","2021-11-10T23:30:41.755Z"
"120.237.253.142","elite","N/A","CN","N/A","172","N/A","1080","socks5","N/A","5001","2021-11-10T23:30:37.862Z"
"114.117.206.230","elite","N/A","CN","N/A","177","N/A","1080","socks5","N/A","N/A","2021-11-10T23:30:30.578Z"
"119.28.137.105","elite","N/A","HK","N/A","155","N/A","9150","socks5","N/A","N/A","2021-11-10T23:30:29.760Z"
"112.78.141.76","elite","N/A","ID","N/A","204","N/A","1080","socks5","N/A","427","2021-11-10T23:30:27.343Z"
"103.99.3.181","elite","N/A","VN","N/A","N/A","N/A","30222","socks5","N/A","5001","2021-11-10T23:30:26.191Z"
"103.250.166.12","elite","N/A","IN","N/A","265","N/A","6667","socks5","N/A","N/A","2021-11-10T23:30:09.086Z"
"103.241.227.107","elite","N/A","IN","N/A","261","N/A","6667","socks5","N/A","N/A","2021-11-10T23:30:06.449Z"
"109.72.226.74","elite","N/A","RU","N/A","199","N/A","31337","socks5","N/A","414","2021-11-10T23:30:03.799Z"
"75.111.123.167","elite","AS19108","US","Suddenlink Communications","N/A","Suddenlink Communications","1888","socks5","37","1","2021-11-10T23:01:58.295Z"
"67.213.212.13","elite","N/A","US","N/A","76","N/A","40064","socks5","N/A","1","2021-11-10T23:01:43.841Z"
"188.132.241.162","elite","AS42910","TR","Sadecehosting","194","Equinix Turkey Internet Hizmetleri Anonim Sirketi","56109","socks5","38","1","2021-11-10T23:01:25.413Z"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","177","TheFirst","20000","socks5","35","1","2021-11-10T23:01:05.032Z"
"143.198.237.236","elite","AS14061","US","DigitalOcean, LLC","N/A","DigitalOcean, LLC","9050","socks5","35","1","2021-11-10T23:00:56.736Z"
"173.244.200.156","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","59097","socks5","51","1","2021-11-10T23:00:35.507Z"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","175","TheFirst","20000","socks5","35","363","2021-06-29T13:00:40.548Z"
